layer,probe_x,probe_y,nearest_year,era,seg_from,seg_to,dist_to_year,dist_to_segment
embed,9.9161,25.3401,2023,late,2022,2023,1.2021,1.1841
style,16.7704,12.9872,2026,late,2025,2026,1.0227,1.0227
